Nombre,DNI,NSS,Género,Código Postal,Fecha Nacimiento,Fecha Ingreso,Diagnóstico,Tratamiento,Resultados
Lucía Molina,56339346K,69/38477319/06,M,32694,1975-09-10,2023-03-30,Lumbalgia crónica,Salbutamol inhalado,Sin cambios relevantes
Sara Ruiz,24745983O,43/49335357/03,F,15514,1972-07-10,2025-09-25,Migraña episódica,Paracetamol 1g,Control parcial
Sergio Romero,29879723T,81/95769024/07,M,19607,1961-03-12,2024-02-06,Gastritis,Salbutamol inhalado,Control parcial
Laura López,32355528F,69/49198817/07,F,47972,1945-04-22,2025-05-15,Artritis leve,Corticoide tópico,Estable
Clara López,90474454J,52/56749620/08,M,36124,2000-02-02,2023-02-06,Lumbalgia crónica,Corticoide tópico,Requiere seguimiento
David Ortega,36141432Z,41/83883173/05,M,49496,1961-03-28,2025-03-27,Alergia estacional,Salbutamol inhalado,Reagudización leve
Paula Romero,33532877J,98/34998524/04,M,43155,1946-08-28,2024-12-06,Lumbalgia crónica,Salbutamol inhalado,Estable
Lucía Navarro,31817362D,23/10040897/04,F,20299,1945-02-22,2025-03-27,Lumbalgia crónica,Sertralina 50 mg,Alta médica
Ana Sánchez,62193097Z,81/26217125/03,M,42575,1993-03-31,2025-10-19,Asma persistente,Metformina 850 mg/12h,Sin cambios relevantes
Pablo Molina,19459606D,12/73069443/06,M,10408,1990-05-12,2024-04-18,Diabetes tipo II,Fisioterapia,Respuesta favorable
Hugo Fernández,71571832D,23/54210461/07,M,18641,1979-09-09,2025-03-28,Artritis leve,Antihistamínicos,Mejora significativa
Laura Gómez,95668552U,43/41177378/08,F,43621,1981-06-28,2025-11-14,Lumbalgia crónica,Paracetamol 1g,Estable
David Díaz,58432903F,60/93843315/06,F,24727,1982-05-05,2025-06-12,Diabetes tipo II,Sertralina 50 mg,Mejora significativa
Elena Gómez,83010915H,14/68975849/01,F,17335,1965-08-04,2024-09-25,Lumbalgia crónica,Sertralina 50 mg,Reagudización leve
Ana Gómez,32679637X,82/76359497/07,M,13944,1950-08-12,2024-04-22,Diabetes tipo II,Antihistamínicos,Respuesta favorable
Mario Molina,60359658P,54/12156441/01,M,21135,1943-01-27,2023-02-19,Alergia estacional,Enalapril 10 mg/día,Reagudización leve
Mario Molina,89246148L,88/12758380/06,F,24032,1978-01-13,2025-02-13,Asma persistente,Salbutamol inhalado,Respuesta favorable
Ana Navarro,92128211V,63/35647792/03,F,14884,1964-06-28,2024-10-12,Alergia estacional,Salbutamol inhalado,Alta médica
Mario Castro,73776764E,34/11498415/03,F,29246,1989-05-01,2024-05-30,Asma persistente,Fisioterapia,Respuesta favorable
Sara Díaz,49307295S,42/43556253/04,F,32046,1998-04-16,2025-03-05,Ansiedad generalizada,Ibuprofeno 400 mg/8h,Sin cambios relevantes
Clara Díaz,28433157G,21/59344752/04,F,26641,2004-04-02,2023-06-06,Dermatitis atópica,Ibuprofeno 400 mg/8h,Requiere seguimiento
Clara Navarro,14377544G,79/26483783/02,M,39475,1958-02-23,2023-10-18,Dermatitis atópica,Antihistamínicos,Sin cambios relevantes
Carlos López,84237567R,31/37342534/09,M,26046,2010-09-27,2023-05-25,Migraña episódica,Omeprazol 20 mg/día,Requiere seguimiento
Pablo Molina,19128851H,66/93556432/02,M,14723,1951-05-11,2023-08-27,Ansiedad generalizada,Corticoide tópico,Mejora significativa
Ana López,66326694N,45/47053615/05,F,42094,2006-10-31,2023-11-04,Asma persistente,Antihistamínicos,Requiere seguimiento
David Gómez,86960176H,85/50645440/08,M,41551,1963-07-11,2025-10-29,Diabetes tipo II,Paracetamol 1g,Requiere seguimiento
Sergio Castro,34707735Z,69/90339357/08,F,51643,1951-11-28,2025-01-11,Ansiedad generalizada,Ibuprofeno 400 mg/8h,Respuesta favorable
Paula Navarro,15264911E,49/24896231/03,F,48794,1964-12-01,2024-12-30,Hipertensión arterial,Corticoide tópico,Síntomas reducidos
Lucía Ortega,84582866B,94/11728926/03,M,38059,1981-03-15,2025-09-21,Alergia estacional,Antihistamínicos,Respuesta favorable
Mario López,30830653I,49/58568503/04,M,48215,1948-11-18,2025-02-06,Alergia estacional,Enalapril 10 mg/día,Síntomas reducidos
Sara Romero,54813330A,67/49354397/04,M,41609,2000-10-18,2023-11-20,Artritis leve,Sertralina 50 mg,Alta médica
Elena Ortega,87109919D,24/37379857/05,F,14599,1953-01-09,2024-08-27,Dermatitis atópica,Enalapril 10 mg/día,Mejora significativa
Marta Molina,18689077D,58/36817328/03,F,12975,1972-09-07,2024-08-02,Ansiedad generalizada,Paracetamol 1g,Mejora significativa
Sergio Fernández,11359733P,22/68536606/05,M,33022,1940-09-04,2023-05-17,Gastritis,Fisioterapia,Mejora significativa
Pablo López,27164695L,96/72377257/04,F,18353,1951-12-08,2024-12-24,Artritis leve,Enalapril 10 mg/día,Síntomas reducidos
Elena Martínez,64139221O,51/89683831/01,F,33142,1958-08-13,2024-04-05,Lumbalgia crónica,Metformina 850 mg/12h,Síntomas reducidos
Marta Gómez,65775284U,68/73800672/06,F,49239,1952-10-22,2025-10-04,Gastritis,Paracetamol 1g,Requiere seguimiento
Elena Ruiz,30967052L,31/88701606/02,F,24002,1985-10-28,2025-06-09,Asma persistente,Sertralina 50 mg,Requiere seguimiento
Mario Sánchez,20111646F,56/57548337/06,F,29005,2000-11-05,2025-07-27,Migraña episódica,Sertralina 50 mg,Sin cambios relevantes
Marta López,90652409J,83/77185372/01,F,15613,1965-05-26,2023-02-08,Gastritis,Enalapril 10 mg/día,Control parcial
Sara Ortega,33841227X,92/16854159/09,F,10698,1996-01-13,2025-07-05,Artritis leve,Corticoide tópico,Sin cambios relevantes
Paula Martínez,82371934F,98/57887492/03,F,52941,2007-01-02,2024-02-07,Dermatitis atópica,Fisioterapia,Sin cambios relevantes
Laura López,36461883N,29/10585705/09,M,33593,2006-01-13,2024-12-07,Lumbalgia crónica,Metformina 850 mg/12h,Respuesta favorable
Clara Fernández,40053753P,12/14094883/09,F,34548,1982-06-19,2024-01-20,Alergia estacional,Ibuprofeno 400 mg/8h,Estable
Javier López,47225438T,33/56125038/09,M,50833,1943-05-14,2024-04-05,Artritis leve,Ibuprofeno 400 mg/8h,Alta médica
Mario Castro,57958289S,67/14020389/02,M,22981,1991-07-27,2025-01-05,Migraña episódica,Salbutamol inhalado,Requiere seguimiento
Laura Ruiz,55679652Z,49/70881400/04,M,10293,2000-11-18,2025-09-05,Dermatitis atópica,Ibuprofeno 400 mg/8h,Sin cambios relevantes
Marta Ruiz,54222191Z,16/94057493/05,M,30738,1946-08-23,2024-01-23,Ansiedad generalizada,Enalapril 10 mg/día,Mejora significativa
Javier Ruiz,72907376E,52/64750298/04,M,43130,1960-07-09,2024-04-10,Alergia estacional,Salbutamol inhalado,Requiere seguimiento
Carlos Navarro,62469344Y,44/80828878/09,M,45609,1951-08-31,2024-05-16,Ansiedad generalizada,Salbutamol inhalado,Sin cambios relevantes
Javier Vega,82689322D,19/56400999/09,M,31920,1953-12-24,2023-03-04,Hipertensión arterial,Metformina 850 mg/12h,Síntomas reducidos
Hugo López,39266580N,63/83960111/09,F,42014,2006-10-01,2024-03-28,Asma persistente,Antihistamínicos,Estable
Pablo Molina,83630595M,91/50047866/09,F,12025,1962-12-30,2023-05-06,Ansiedad generalizada,Fisioterapia,Mejora significativa
Mario Molina,24494018F,64/18959933/07,M,19536,1943-03-15,2023-03-21,Ansiedad generalizada,Paracetamol 1g,Alta médica
Carlos Ruiz,14180453O,16/88108012/04,F,14583,1967-02-16,2023-05-27,Asma persistente,Omeprazol 20 mg/día,Control parcial
Ana Romero,60478930V,63/42564845/02,F,15743,2001-12-26,2023-04-03,Artritis leve,Enalapril 10 mg/día,Sin cambios relevantes
Elena Castro,93302224H,41/15613672/07,M,12476,1983-09-09,2025-10-09,Dermatitis atópica,Omeprazol 20 mg/día,Respuesta favorable
Lucía Ruiz,81755077O,76/87347634/05,M,49918,1966-06-28,2024-10-05,Artritis leve,Omeprazol 20 mg/día,Alta médica
Mario Fernández,45968492W,89/21255636/07,M,15768,1992-01-19,2023-05-27,Gastritis,Omeprazol 20 mg/día,Alta médica
Hugo Romero,59269824C,70/81326735/05,F,23875,1994-03-08,2024-10-30,Hipertensión arterial,Metformina 850 mg/12h,Reagudización leve
Pablo Ruiz,93590819K,18/25615882/02,M,19614,1953-01-03,2023-03-01,Dermatitis atópica,Antihistamínicos,Alta médica
Hugo López,83874107W,60/11581869/06,F,18947,1975-06-07,2024-08-21,Dermatitis atópica,Metformina 850 mg/12h,Estable
Ana Fernández,65948870F,51/62987193/05,F,34049,1988-07-18,2023-09-06,Ansiedad generalizada,Omeprazol 20 mg/día,Síntomas reducidos
David Gómez,56930682X,15/78818988/03,M,26892,1965-02-07,2024-03-30,Asma persistente,Fisioterapia,Mejora significativa
Mario Martínez,74576056Z,75/27583758/09,F,49043,1950-11-22,2023-03-10,Gastritis,Salbutamol inhalado,Síntomas reducidos
Sergio Díaz,26902918Y,49/22965070/08,M,14385,1999-03-12,2024-08-10,Gastritis,Enalapril 10 mg/día,Requiere seguimiento
Carlos Castro,54136015C,76/99906308/04,M,38694,1985-11-20,2023-04-05,Dermatitis atópica,Corticoide tópico,Requiere seguimiento
Clara Romero,88471346X,44/78389795/02,F,24101,1964-09-14,2024-06-11,Migraña episódica,Corticoide tópico,Reagudización leve
Sergio Navarro,66640904J,73/17395409/01,M,27772,1964-01-14,2025-04-02,Gastritis,Metformina 850 mg/12h,Mejora significativa
Carlos Ortega,74091024P,15/92801822/05,F,34732,2000-08-19,2023-07-25,Artritis leve,Enalapril 10 mg/día,Alta médica
Mario Martínez,51398041Y,46/10498933/05,F,19342,1997-11-25,2024-10-23,Gastritis,Corticoide tópico,Alta médica
Laura Navarro,43321804N,37/89216750/05,F,32508,1975-05-10,2024-03-28,Ansiedad generalizada,Antihistamínicos,Reagudización leve
Clara Fernández,78791665P,68/38493970/04,M,34532,1996-10-24,2024-07-14,Asma persistente,Ibuprofeno 400 mg/8h,Alta médica
Clara Ruiz,65846004E,24/95458047/06,F,25589,1995-09-02,2024-02-20,Artritis leve,Fisioterapia,Requiere seguimiento
Javier Navarro,92874297D,57/37300404/02,M,46563,1977-07-03,2023-09-24,Hipertensión arterial,Omeprazol 20 mg/día,Requiere seguimiento
Mario Ruiz,34444082Y,41/86546176/09,M,35648,1969-04-03,2025-06-13,Ansiedad generalizada,Enalapril 10 mg/día,Reagudización leve
Hugo Fernández,19767624N,52/30926220/01,F,24434,1995-05-23,2023-03-10,Hipertensión arterial,Fisioterapia,Control parcial
Carlos Ruiz,78447602N,37/57485126/05,F,25626,1962-04-24,2025-05-08,Diabetes tipo II,Antihistamínicos,Sin cambios relevantes
Elena López,48186141S,35/48561619/07,M,45181,1989-04-15,2024-08-12,Ansiedad generalizada,Antihistamínicos,Alta médica
Pablo Molina,46841009K,44/72140226/04,F,35785,1994-08-02,2024-02-01,Artritis leve,Fisioterapia,Sin cambios relevantes
David Vega,89249300W,28/61993388/04,M,23506,2005-09-21,2025-02-15,Migraña episódica,Metformina 850 mg/12h,Requiere seguimiento
Lucía Ortega,14120448C,81/19173522/05,F,15128,1968-08-31,2025-03-02,Gastritis,Sertralina 50 mg,Respuesta favorable
Ana Fernández,62310345A,90/78781406/05,M,20046,1998-06-15,2025-05-21,Artritis leve,Ibuprofeno 400 mg/8h,Reagudización leve
Javier Martínez,77768589E,70/65062641/08,M,42122,1966-10-14,2025-06-24,Gastritis,Ibuprofeno 400 mg/8h,Requiere seguimiento
Javier López,90383610E,83/66175686/07,M,38003,1995-03-03,2024-05-02,Asma persistente,Metformina 850 mg/12h,Respuesta favorable
Sergio López,74027909L,33/53523744/04,M,34095,1998-05-19,2023-07-16,Diabetes tipo II,Fisioterapia,Control parcial
Mario Navarro,67153248M,56/88686427/02,M,17087,1970-04-18,2024-07-06,Diabetes tipo II,Omeprazol 20 mg/día,Estable
Hugo Sánchez,32003842T,93/19378889/03,F,31649,1969-04-23,2024-08-05,Lumbalgia crónica,Antihistamínicos,Estable
Hugo Vega,58829349D,13/71843260/01,F,13361,1979-07-14,2024-02-11,Gastritis,Ibuprofeno 400 mg/8h,Alta médica
Marta Ortega,32013960Y,81/32615120/03,F,20337,1977-04-27,2023-02-07,Gastritis,Fisioterapia,Respuesta favorable
Carlos Navarro,19522722Z,95/46976814/07,F,37177,1990-11-01,2023-12-21,Gastritis,Antihistamínicos,Mejora significativa
Pablo Díaz,71230156K,82/97674567/09,F,12247,1978-01-15,2025-07-11,Lumbalgia crónica,Metformina 850 mg/12h,Estable
Mario Molina,74728886F,26/55620449/08,M,28137,2002-12-25,2024-12-02,Hipertensión arterial,Paracetamol 1g,Sin cambios relevantes
Marta Martínez,41867791S,98/55836489/03,F,39303,1979-12-27,2023-05-24,Artritis leve,Ibuprofeno 400 mg/8h,Requiere seguimiento
Marta Ortega,27102109K,28/24670150/08,M,22399,1986-10-17,2023-08-31,Artritis leve,Antihistamínicos,Síntomas reducidos
Elena Martínez,24096930T,90/74111807/02,F,21192,2009-02-01,2023-09-15,Migraña episódica,Salbutamol inhalado,Estable
Laura Sánchez,13877035J,10/35159929/07,F,40309,1984-03-15,2023-02-12,Diabetes tipo II,Enalapril 10 mg/día,Estable
Pablo Castro,31946133P,36/35308576/08,F,48334,1990-11-29,2025-03-15,Hipertensión arterial,Ibuprofeno 400 mg/8h,Reagudización leve
Pablo Martínez,77065001T,14/19045126/06,F,15449,1999-03-28,2025-03-17,Lumbalgia crónica,Omeprazol 20 mg/día,Estable
Mario Fernández,18280488I,49/39756603/01,F,44899,1996-12-05,2024-04-07,Diabetes tipo II,Corticoide tópico,Estable
Carlos Castro,27091999T,38/49021099/04,M,52828,1968-04-14,2024-09-20,Ansiedad generalizada,Salbutamol inhalado,Estable
Elena Ruiz,90546811U,55/36765228/02,F,50966,1990-01-25,2023-05-09,Hipertensión arterial,Ibuprofeno 400 mg/8h,Reagudización leve
Carlos Molina,11914310G,68/59817020/05,F,20761,2009-03-17,2023-10-31,Alergia estacional,Salbutamol inhalado,Respuesta favorable
Hugo Díaz,63509935K,13/30464412/02,F,33821,1951-02-11,2025-09-10,Dermatitis atópica,Omeprazol 20 mg/día,Síntomas reducidos
Sara Gómez,83139890I,26/74692295/03,M,31090,1970-01-02,2025-10-20,Artritis leve,Ibuprofeno 400 mg/8h,Mejora significativa
Lucía Díaz,29492521Q,22/50728013/05,M,48013,2003-03-22,2024-05-15,Asma persistente,Fisioterapia,Estable
Elena Vega,41604693D,24/88424839/06,F,22539,1959-10-25,2023-08-22,Migraña episódica,Enalapril 10 mg/día,Reagudización leve
Mario Ruiz,13236492H,72/77411433/01,F,14731,2005-04-15,2025-05-09,Migraña episódica,Omeprazol 20 mg/día,Estable
Elena López,64853896M,80/10410514/02,M,49744,2005-02-28,2023-04-28,Gastritis,Omeprazol 20 mg/día,Sin cambios relevantes
Hugo Díaz,95890198U,85/49858190/04,M,14410,1982-12-06,2025-08-18,Migraña episódica,Corticoide tópico,Reagudización leve
Mario Molina,99256308P,24/28763305/09,M,46081,1973-10-06,2024-01-23,Hipertensión arterial,Corticoide tópico,Control parcial
David Castro,67522336E,68/47387074/01,F,42375,1969-09-16,2025-09-05,Gastritis,Enalapril 10 mg/día,Estable
Sara Castro,81104973A,28/55180842/04,F,45488,1990-03-17,2025-05-09,Asma persistente,Paracetamol 1g,Requiere seguimiento
Mario Sánchez,97444270T,89/84150343/08,F,52583,1999-07-24,2023-04-12,Migraña episódica,Antihistamínicos,Estable
Lucía Fernández,79065287E,21/16390556/06,M,22130,2008-11-10,2024-12-02,Lumbalgia crónica,Metformina 850 mg/12h,Requiere seguimiento
Javier Ortega,16293856W,59/24197141/02,M,24209,1950-05-18,2025-10-13,Hipertensión arterial,Antihistamínicos,Respuesta favorable
Clara Ortega,35294674J,28/75554736/09,M,29981,1981-01-22,2025-08-31,Lumbalgia crónica,Paracetamol 1g,Sin cambios relevantes
Lucía Molina,75678518W,91/53238880/05,M,10230,1970-12-11,2024-11-28,Ansiedad generalizada,Corticoide tópico,Estable
Paula Romero,93556480R,83/98117604/06,M,43001,1963-09-04,2023-05-05,Diabetes tipo II,Omeprazol 20 mg/día,Mejora significativa
Paula Díaz,95466347V,84/89209616/07,M,46003,1987-06-20,2025-07-30,Dermatitis atópica,Salbutamol inhalado,Respuesta favorable
Laura Ortega,57387404U,44/75707132/05,M,42556,1973-08-14,2025-06-18,Lumbalgia crónica,Antihistamínicos,Síntomas reducidos
Marta López,24354071Q,39/30975134/01,F,37966,1970-09-26,2025-02-12,Ansiedad generalizada,Fisioterapia,Control parcial
Paula Gómez,42518916U,25/43230220/07,M,41636,1993-12-11,2023-01-10,Lumbalgia crónica,Fisioterapia,Requiere seguimiento
Ana Navarro,10869691E,33/33374326/08,M,50405,1978-10-29,2025-03-15,Dermatitis atópica,Fisioterapia,Estable
Paula Gómez,50746548F,60/69766839/09,M,28563,1957-07-09,2024-12-14,Artritis leve,Omeprazol 20 mg/día,Mejora significativa
Marta Díaz,32684392D,95/71416097/05,M,37382,2003-04-08,2023-09-15,Hipertensión arterial,Ibuprofeno 400 mg/8h,Alta médica
Ana Vega,75682144S,35/67525251/07,F,22582,1945-09-13,2023-09-22,Asma persistente,Metformina 850 mg/12h,Mejora significativa
Carlos Molina,74917579D,32/32545404/03,F,35147,1950-09-09,2023-12-24,Diabetes tipo II,Antihistamínicos,Mejora significativa
Elena Castro,14646251V,57/72823103/01,F,28242,2007-05-31,2024-04-19,Gastritis,Antihistamínicos,Síntomas reducidos
Clara Ortega,48690851O,26/97716587/06,F,51506,2001-02-03,2024-07-14,Diabetes tipo II,Salbutamol inhalado,Respuesta favorable
Laura Castro,77606682L,61/93373774/08,F,43568,1991-12-01,2025-07-17,Alergia estacional,Salbutamol inhalado,Alta médica
Hugo Navarro,96769941M,28/35484189/01,F,30483,2008-12-22,2024-04-10,Migraña episódica,Salbutamol inhalado,Control parcial
David Ruiz,74440423B,51/64225457/02,F,52449,1971-02-05,2024-01-08,Diabetes tipo II,Ibuprofeno 400 mg/8h,Respuesta favorable
Elena Vega,70667407E,21/91183017/07,F,44448,1967-04-22,2023-03-10,Artritis leve,Metformina 850 mg/12h,Control parcial
Laura López,51415494X,82/50026306/06,M,12547,1941-05-26,2025-11-27,Artritis leve,Metformina 850 mg/12h,Respuesta favorable
Pablo Sánchez,67214751Y,80/27846103/06,F,40708,2008-04-22,2024-07-05,Artritis leve,Corticoide tópico,Reagudización leve
David Ortega,43432001M,27/84787943/07,M,32261,2006-04-05,2024-02-02,Lumbalgia crónica,Paracetamol 1g,Estable
Paula López,36257760V,11/18715359/09,M,23767,1994-03-13,2024-11-04,Dermatitis atópica,Antihistamínicos,Síntomas reducidos
Sara Navarro,65453310J,84/58304830/06,M,21592,2007-12-01,2024-11-09,Gastritis,Fisioterapia,Sin cambios relevantes
Laura Gómez,28324484N,20/88767247/05,M,25022,1942-04-14,2024-04-04,Hipertensión arterial,Sertralina 50 mg,Control parcial
Hugo Martínez,10150444C,64/59322590/03,F,41531,1970-12-11,2024-10-06,Asma persistente,Antihistamínicos,Síntomas reducidos
Pablo López,12481925C,29/18492744/05,M,25567,1979-04-28,2025-04-18,Hipertensión arterial,Corticoide tópico,Estable
Javier Castro,75063014G,43/22231313/08,F,19793,1945-09-14,2024-04-17,Gastritis,Sertralina 50 mg,Requiere seguimiento
Elena Fernández,16561206K,90/70210756/02,M,29690,2003-03-03,2024-08-31,Migraña episódica,Antihistamínicos,Mejora significativa
Elena Molina,67199863B,21/47643095/09,M,10682,2008-11-27,2025-05-09,Dermatitis atópica,Enalapril 10 mg/día,Control parcial
Ana Vega,81825192U,48/53363684/05,M,16102,1951-03-03,2023-04-06,Migraña episódica,Corticoide tópico,Reagudización leve
Sergio Vega,63186807G,80/82336378/08,M,20462,2008-02-04,2023-09-03,Alergia estacional,Metformina 850 mg/12h,Mejora significativa
Mario Gómez,67772064E,66/61436950/01,F,28382,1955-04-14,2025-02-23,Gastritis,Omeprazol 20 mg/día,Control parcial
Mario López,47281279P,71/34204866/08,M,36602,1992-11-12,2023-05-19,Artritis leve,Antihistamínicos,Respuesta favorable
Elena Navarro,33317229H,10/36285342/06,F,37522,1945-05-04,2023-01-30,Diabetes tipo II,Ibuprofeno 400 mg/8h,Control parcial
Ana Sánchez,21643145L,44/19586060/09,F,39436,1988-07-19,2024-12-01,Alergia estacional,Metformina 850 mg/12h,Alta médica
Sara Vega,49125601K,87/39721774/02,F,11378,1940-12-08,2024-12-01,Migraña episódica,Ibuprofeno 400 mg/8h,Mejora significativa
Paula Díaz,80115989G,46/63194895/01,M,37058,1963-05-31,2023-11-18,Migraña episódica,Salbutamol inhalado,Mejora significativa
Marta Castro,45587950C,43/19727637/02,M,15858,1950-11-28,2023-05-05,Asma persistente,Enalapril 10 mg/día,Mejora significativa
Javier Ruiz,37683657C,41/90529129/07,M,24376,1969-07-01,2025-02-04,Migraña episódica,Paracetamol 1g,Síntomas reducidos
Elena Vega,93037772Q,72/96405431/07,M,27123,1994-01-04,2025-05-21,Dermatitis atópica,Metformina 850 mg/12h,Alta médica
Marta López,46899366V,15/23496250/07,M,40523,1961-05-28,2024-07-07,Hipertensión arterial,Enalapril 10 mg/día,Requiere seguimiento
Pablo Díaz,22245898O,47/97320363/04,M,16265,1944-07-14,2025-09-07,Dermatitis atópica,Paracetamol 1g,Alta médica
Elena Molina,30171497C,50/32958604/07,F,28344,1961-06-12,2023-12-09,Gastritis,Paracetamol 1g,Mejora significativa
Paula Castro,16412925I,99/53651117/06,M,30420,1984-06-03,2025-06-14,Alergia estacional,Ibuprofeno 400 mg/8h,Control parcial
Hugo Castro,96759978U,91/44798936/07,M,16527,2008-01-22,2023-10-20,Migraña episódica,Sertralina 50 mg,Respuesta favorable
Hugo Díaz,55825843Q,67/97033912/03,F,39424,1983-05-26,2024-12-06,Migraña episódica,Sertralina 50 mg,Requiere seguimiento
Carlos Martínez,99176855M,90/31416971/08,F,16172,2002-09-25,2024-01-23,Artritis leve,Fisioterapia,Requiere seguimiento
Mario Navarro,27166726J,19/27400740/05,F,48015,1943-11-14,2024-03-10,Ansiedad generalizada,Enalapril 10 mg/día,Control parcial
David Vega,83792842R,13/62629836/02,F,32391,1957-05-11,2024-10-06,Asma persistente,Paracetamol 1g,Estable
Hugo Vega,62906018R,54/75863031/03,M,40027,1994-06-23,2024-04-06,Artritis leve,Antihistamínicos,Sin cambios relevantes
Pablo Díaz,34124855N,54/80580067/01,F,45646,1987-09-22,2023-03-08,Migraña episódica,Enalapril 10 mg/día,Sin cambios relevantes
Hugo Romero,11591790A,39/68749682/07,F,38821,1990-09-13,2024-05-17,Ansiedad generalizada,Sertralina 50 mg,Requiere seguimiento
Pablo López,63599987L,85/68826416/03,F,13746,1960-10-03,2023-08-11,Artritis leve,Antihistamínicos,Reagudización leve
David Gómez,16998694I,98/58114527/07,M,10144,1991-01-31,2023-02-09,Asma persistente,Paracetamol 1g,Requiere seguimiento
Laura Castro,28109658T,54/26285004/05,F,16712,1966-02-06,2025-07-25,Alergia estacional,Sertralina 50 mg,Respuesta favorable
Elena Vega,91210671O,53/53513204/06,M,19710,2002-12-21,2024-12-07,Gastritis,Ibuprofeno 400 mg/8h,Respuesta favorable
Sergio Díaz,72737876P,20/76718463/06,F,35189,1992-01-05,2025-05-29,Dermatitis atópica,Sertralina 50 mg,Alta médica
David Romero,28312307K,59/45161205/03,M,15761,1984-03-19,2023-04-21,Migraña episódica,Paracetamol 1g,Sin cambios relevantes
Mario Ruiz,58701313S,21/39499344/03,F,21348,1991-02-28,2025-05-23,Migraña episódica,Ibuprofeno 400 mg/8h,Sin cambios relevantes
Carlos Castro,88976752W,32/87066823/08,M,24544,1985-12-08,2023-05-08,Dermatitis atópica,Salbutamol inhalado,Sin cambios relevantes
David Fernández,19864819J,67/47979798/04,F,37953,1987-11-19,2024-05-17,Dermatitis atópica,Salbutamol inhalado,Mejora significativa
Sara López,55962058O,79/45319086/02,M,12228,1941-10-26,2025-03-31,Lumbalgia crónica,Antihistamínicos,Reagudización leve
Pablo Gómez,30400589M,22/53665578/04,F,32024,1968-10-19,2025-06-21,Diabetes tipo II,Antihistamínicos,Sin cambios relevantes
Hugo Gómez,65430949A,39/72570346/05,M,38383,1959-04-08,2023-11-15,Hipertensión arterial,Ibuprofeno 400 mg/8h,Respuesta favorable
Hugo Vega,38232978E,17/27321533/06,M,47501,1988-11-03,2023-07-09,Diabetes tipo II,Ibuprofeno 400 mg/8h,Sin cambios relevantes
Lucía Gómez,11855574S,51/98944668/06,F,52893,1988-06-04,2025-11-01,Gastritis,Ibuprofeno 400 mg/8h,Alta médica
Lucía Castro,21001194F,91/51106957/05,F,39549,1955-11-19,2024-11-14,Lumbalgia crónica,Fisioterapia,Estable
Elena López,97934910U,99/55361161/06,F,46466,1947-05-01,2025-10-08,Diabetes tipo II,Omeprazol 20 mg/día,Requiere seguimiento
Hugo Fernández,59935209J,25/79387190/01,M,32653,1965-08-11,2024-10-16,Diabetes tipo II,Enalapril 10 mg/día,Síntomas reducidos
Clara López,81954890Z,66/85329980/08,F,25387,1970-10-26,2023-08-17,Ansiedad generalizada,Antihistamínicos,Control parcial
